sample_id,waste_type,data_source,paper_ref_no,cement_kg_m3,water_cement_ratio,curing_days,rac_%,rcwtb_%,ceramic_%,plastic_%,total_replacement_%,compressive_strength_mpa,flexural_strength_mpa,split_tensile_strength_mpa,chloride_penetration_mm,marine_durability_score,co2_emission_kg_m3,cost_usd_m3
4210,RAC,real,See Table 3 (compiled sources),500.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,65.0,7.85,5.94,11.33,7.9,412.4,82.5
4211,RAC,real,See Table 3 (compiled sources),500.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,62.5,7.83,5.73,10.47,8.3,413.2,86.1
4212,RAC,real,See Table 3 (compiled sources),350.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,50.8,6.47,4.63,10.94,8.8,282.5,65.4
4213,RAC,real,"Hoang 2024, Mathematics (Ref 9)",248.0,0.722,3.0,50.0,0.0,0.0,0.0,50.0,19.9,2.57,1.75,30.0,2.7,156.1,34.5
4214,RAC,real,See Table 3 (compiled sources),450.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,66.8,7.99,5.88,9.37,8.6,367.9,75.2
4215,RAC,real,See Table 3 (compiled sources),280.0,0.69,28.0,100.0,0.0,0.0,0.0,100.0,36.1,4.36,3.23,30.0,2.7,132.3,24.9
4216,RAC,real,See Table 3 (compiled sources),450.0,0.4,28.0,1.0,0.0,0.0,0.0,1.0,56.1,6.88,5.14,12.84,7.5,369.1,78.1
4217,RAC,real,See Table 3 (compiled sources),380.0,0.84,28.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.83,30.0,2.3,320.3,52.1
4218,RAC,real,See Table 3 (compiled sources),350.0,0.34,3.0,1.0,0.0,0.0,0.0,1.0,29.2,3.58,2.88,14.46,7.4,291.1,49.2
4219,RAC,real,See Table 3 (compiled sources),360.0,0.39,56.0,0.0,0.0,0.0,0.0,0.0,68.0,8.26,5.99,9.67,8.5,297.2,65.8
4220,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.56,28.0,100.0,0.0,0.0,0.0,100.0,40.5,4.86,3.81,28.92,4.2,222.5,39.1
4221,RAC,real,See Table 3 (compiled sources),340.0,0.57,56.0,1.0,0.0,0.0,0.0,1.0,45.1,6.01,3.94,19.23,5.7,281.4,49.7
4222,RAC,real,See Table 3 (compiled sources),410.0,0.5,90.0,0.0,0.0,0.0,0.0,0.0,57.6,6.72,5.35,14.79,6.8,344.0,71.1
4223,RAC,real,See Table 3 (compiled sources),420.0,0.431,28.0,100.0,0.0,0.0,0.0,100.0,39.4,4.69,3.71,24.76,4.9,252.9,43.8
4224,RAC,real,"Hoang 2024, Mathematics (Ref 9)",168.0,1.095,56.0,100.0,0.0,0.0,0.0,100.0,36.0,4.14,3.41,30.0,1.6,80.0,15.0
4225,RCWTB,augmented_literature_based,This study (synthetic augmentation),461.2,0.379,7.0,32.2,15.4,0.0,0.0,47.6,61.5,7.23,5.49,12.98,8.5,339.5,70.5
4226,RAC,real,See Table 3 (compiled sources),410.0,0.548780488,28.0,49.0,0.0,0.0,0.0,49.0,42.5,5.17,3.98,25.35,5.1,292.4,55.4
4227,RAC,real,"Hoang 2024, Mathematics (Ref 9)",305.8,0.429,90.0,47.4,0.0,0.0,0.0,47.4,37.3,4.33,3.23,17.88,7.0,208.0,38.0
4228,Plastic,augmented_literature_based,This study (synthetic augmentation),488.1,0.467,28.0,37.9,0.0,0.0,6.1,44.0,44.8,5.44,3.95,20.56,5.7,361.2,71.9
4229,Ceramic,augmented_literature_based,This study (synthetic augmentation),325.2,0.44,14.0,28.3,0.0,21.5,0.0,49.8,53.3,5.99,4.83,16.01,7.9,231.1,46.2
4230,RAC,real,See Table 3 (compiled sources),461.0,0.52,28.0,0.0,0.0,0.0,0.0,0.0,30.3,3.37,3.16,18.56,5.7,388.2,60.8
4231,RAC,real,See Table 3 (compiled sources),350.0,0.35,3.0,1.0,0.0,0.0,0.0,1.0,27.7,3.5,2.45,17.43,6.4,287.7,56.0
4232,RAC,real,See Table 3 (compiled sources),330.0,0.56,56.0,1.0,0.0,0.0,0.0,1.0,42.9,5.26,4.52,20.24,5.7,265.0,48.3
4233,RAC,real,See Table 3 (compiled sources),300.0,0.55,28.0,2.0,0.0,0.0,0.0,2.0,47.0,5.34,4.36,19.67,5.9,233.8,51.2
4234,RAC,real,See Table 3 (compiled sources),300.0,0.53,3.0,1.0,0.0,0.0,0.0,1.0,24.4,2.66,2.23,21.57,5.4,246.5,48.4
4235,RAC,real,See Table 3 (compiled sources),400.0,0.519,56.0,0.0,0.0,0.0,0.0,0.0,42.1,5.05,3.72,18.03,6.8,326.6,69.2
4236,RAC,real,See Table 3 (compiled sources),350.0,0.33,56.0,0.0,0.0,0.0,0.0,0.0,64.2,8.06,5.76,7.21,9.0,288.9,69.0
4237,RAC,real,See Table 3 (compiled sources),380.0,0.35,28.0,100.0,0.0,0.0,0.0,100.0,68.7,8.38,6.0,17.86,6.6,228.2,50.6
4238,RAC,real,See Table 3 (compiled sources),500.0,0.4458,56.0,8.4,0.0,0.0,0.0,8.4,55.1,6.71,4.76,13.54,8.0,397.9,80.6
4239,RAC,real,See Table 3 (compiled sources),340.0,0.45,28.0,48.3,0.0,0.0,0.0,48.3,39.6,5.08,3.53,21.47,5.2,238.2,39.6
4240,RAC,real,See Table 3 (compiled sources),461.0,0.52,7.0,0.0,0.0,0.0,0.0,0.0,20.4,2.3,1.98,22.29,5.5,374.2,66.8
4241,Plastic,augmented_literature_based,This study (synthetic augmentation),315.2,0.31,14.0,24.4,0.0,0.0,11.8,36.2,56.1,6.82,5.0,14.84,7.6,230.4,53.1
4242,RAC,real,See Table 3 (compiled sources),380.0,0.5,28.0,57.0,0.0,0.0,0.0,57.0,36.9,4.55,3.16,24.49,4.8,259.0,48.9
4243,RCWTB,augmented_literature_based,This study (synthetic augmentation),477.7,0.302,7.0,41.6,16.0,0.0,0.0,57.6,59.6,7.44,5.12,11.98,9.7,352.7,67.3
4244,RAC,real,See Table 3 (compiled sources),440.0,0.35,28.0,61.8,0.0,0.0,0.0,61.8,67.8,4.938870968,3.651791045,15.48,7.7,306.0,62.9
4245,RAC,real,See Table 3 (compiled sources),340.0,0.53,3.0,2.0,0.0,0.0,0.0,2.0,25.2,3.02,2.24,22.89,4.6,278.7,52.1
4246,RAC,real,See Table 3 (compiled sources),309.0,0.55,3.0,100.0,0.0,0.0,0.0,100.0,12.0,2.0,1.5,30.0,3.3,166.0,21.5
4247,RAC,real,See Table 3 (compiled sources),113.0,1.504,90.0,100.0,0.0,0.0,0.0,100.0,21.3,2.46,1.96,30.0,1.0,80.0,15.0
4248,Plastic,real,See Table 3 (compiled sources),430.0,0.518,28.0,79.9,0.0,0.0,0.0,79.9,37.4,4.51,3.33,27.11,5.1,276.3,47.5
4249,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.57,28.0,50.0,0.0,0.0,0.0,50.0,38.1,4.69,3.16,24.65,4.9,258.7,40.7
4250,RAC,real,See Table 3 (compiled sources),350.0,0.4,28.0,100.0,0.0,0.0,0.0,100.0,62.8,7.6,5.47,20.93,5.6,193.8,41.1
4251,RAC,real,See Table 3 (compiled sources),350.0,0.34,56.0,1.0,0.0,0.0,0.0,1.0,53.5,6.05,4.9,11.04,8.7,292.0,57.0
4252,RAC,real,See Table 3 (compiled sources),450.0,0.33,28.0,1.0,0.0,0.0,0.0,1.0,67.0,8.06,6.0,10.74,8.2,369.0,75.1
4253,RAC,real,See Table 3 (compiled sources),249.0,0.48,28.0,100.0,0.0,0.0,0.0,100.0,13.9,2.0,1.5,29.47,4.2,113.9,15.0
4254,RAC,real,See Table 3 (compiled sources),413.0,0.499,28.0,100.0,0.0,0.0,0.0,100.0,51.0,6.52,4.62,25.39,4.7,254.9,46.9
4255,RAC,real,See Table 3 (compiled sources),380.0,0.68,28.0,0.0,0.0,0.0,0.0,0.0,34.5,4.24,3.08,26.09,4.5,317.3,64.8
4256,RAC,real,See Table 3 (compiled sources),500.0,0.36,3.0,0.0,0.0,0.0,0.0,0.0,36.5,4.2,3.13,15.46,7.1,400.8,72.6
4257,RAC,real,See Table 3 (compiled sources),350.0,0.35,3.0,1.0,0.0,0.0,0.0,1.0,29.8,3.34,2.54,16.94,6.9,283.1,51.4
4258,RAC,real,See Table 3 (compiled sources),300.0,0.6,3.0,2.0,0.0,0.0,0.0,2.0,23.7,2.31,2.0,24.46,4.7,243.5,46.8
4259,Ceramic,augmented_literature_based,This study (synthetic augmentation),374.3,0.329,56.0,24.3,0.0,23.1,0.0,47.4,67.1,8.22,6.0,8.52,9.8,256.8,70.8
4260,RAC_FreezeThaw,real,See Table 3 (compiled sources),461.0,0.328,60.0,44.2,0.0,0.0,0.0,44.2,65.7,7.5,6.0,12.47,8.0,335.5,72.0
4261,Ceramic,augmented_literature_based,This study (synthetic augmentation),419.2,0.549,56.0,45.9,0.0,24.0,0.0,69.9,51.3,6.57,4.58,20.06,8.1,293.8,55.2
4262,Plastic,augmented_literature_based,This study (synthetic augmentation),411.3,0.361,28.0,26.9,0.0,0.0,7.9,34.8,52.4,6.12,4.83,15.09,7.4,307.0,58.3
4263,RAC,real,See Table 3 (compiled sources),375.0,0.5,28.0,7.0,0.0,0.0,0.0,7.0,27.0,2.79,2.62,19.56,5.9,304.9,55.0
4264,RAC,real,See Table 3 (compiled sources),350.0,0.35,28.0,2.0,0.0,0.0,0.0,2.0,55.3,6.88,4.84,11.15,8.4,286.9,67.1
4265,RAC,real,See Table 3 (compiled sources),413.0,0.498789346,28.0,48.0,0.0,0.0,0.0,48.0,51.0,6.29,4.42,21.72,5.6,295.0,54.4
4266,RAC,real,See Table 3 (compiled sources),450.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,68.3,8.62,5.8,8.41,8.5,366.7,87.2
4267,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),448.0,0.411,90.0,37.5,7.4,0.0,0.0,44.9,67.5,8.03,6.0,11.33,9.1,329.7,64.9
4268,RAC,real,See Table 3 (compiled sources),350.0,0.5,28.0,8.8,0.0,0.0,0.0,8.8,34.0,4.33,3.06,21.16,5.9,275.5,54.3
4269,Combined,augmented_literature_based,This study (synthetic augmentation),415.7,0.523,28.0,17.5,9.0,6.0,6.0,38.5,48.5,5.89,4.06,18.42,7.0,312.5,63.3
4270,RAC,real,See Table 3 (compiled sources),400.0,0.47,28.0,81.5,0.0,0.0,0.0,81.5,50.0,6.2,3.8,21.97,5.4,253.9,42.5
4271,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,30.0,0.0,0.0,0.0,30.0,44.9,5.72,3.6,16.56,7.4,411.9,76.2
4272,Plastic,augmented_literature_based,This study (synthetic augmentation),365.5,0.41,90.0,32.2,0.0,0.0,12.5,44.7,57.6,7.03,5.38,14.64,7.7,256.8,62.0
4273,RCWTB,augmented_literature_based,This study (synthetic augmentation),424.3,0.346,7.0,41.9,19.1,0.0,0.0,61.0,61.6,7.38,5.67,13.64,8.6,296.1,67.2
4274,RAC,real,See Table 3 (compiled sources),300.0,0.6,3.0,2.0,0.0,0.0,0.0,2.0,23.7,2.94,2.36,25.53,3.9,252.5,47.5
4275,RAC,real,"Hoang 2024, Mathematics (Ref 9)",150.0,1.204,90.0,100.0,0.0,0.0,0.0,100.0,14.1,2.0,1.5,30.0,1.6,80.0,15.0
4276,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.55,28.0,20.0,0.0,0.0,0.0,20.0,45.3,5.1,3.99,20.88,5.7,294.9,56.7
4277,RAC,real,See Table 3 (compiled sources),450.0,0.34,3.0,2.0,0.0,0.0,0.0,2.0,46.9,5.51,4.22,13.27,7.4,371.1,81.6
4278,RAC,real,See Table 3 (compiled sources),460.0,0.36,28.0,50.0,0.0,0.0,0.0,50.0,61.2,7.32,5.97,14.05,7.3,323.5,62.0
4279,RAC,real,See Table 3 (compiled sources),300.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,38.8,4.82,3.56,23.62,4.6,249.0,52.9
4280,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.35,28.0,0.0,0.0,0.0,0.0,0.0,37.5,4.4,3.41,13.42,8.1,306.7,59.9
4281,Plastic,augmented_literature_based,This study (synthetic augmentation),319.8,0.379,90.0,33.3,0.0,0.0,11.3,44.6,56.8,6.73,5.53,12.08,8.2,224.4,50.4
4282,RAC,real,See Table 3 (compiled sources),350.0,0.34,56.0,1.0,0.0,0.0,0.0,1.0,53.5,6.65,5.07,11.11,8.3,288.5,62.5
4283,RAC,real,See Table 3 (compiled sources),500.0,0.34,3.0,1.0,0.0,0.0,0.0,1.0,41.4,4.7,3.89,14.4,7.4,414.6,80.0
4284,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,60.0,0.0,0.0,0.0,60.0,40.0,4.45,3.72,20.75,6.2,383.8,65.2
4285,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",400.0,0.5,28.0,100.0,0.0,0.0,0.0,100.0,36.5,3.97,3.16,26.96,4.8,235.1,32.4
4286,RAC,real,See Table 3 (compiled sources),500.0,0.36,14.0,8.1,0.0,0.0,0.0,8.1,42.3,4.95,3.81,15.21,6.9,409.9,80.1
4287,RAC,real,See Table 3 (compiled sources),537.0,0.41,7.0,15.0,0.0,0.0,0.0,15.0,38.6,4.55,3.31,18.15,6.3,420.0,79.4
4288,RAC,real,See Table 3 (compiled sources),350.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,50.8,5.78,4.62,10.25,8.3,290.4,55.5
4289,RAC,real,See Table 3 (compiled sources),537.0,0.409683426,28.0,45.0,0.0,0.0,0.0,45.0,49.5,6.04,4.13,17.29,7.2,409.0,76.2
4290,RAC,real,See Table 3 (compiled sources),400.0,0.45,28.0,0.0,0.0,0.0,0.0,0.0,19.3,2.49,1.68,18.94,6.4,324.8,58.3
4291,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.45,28.0,0.0,0.0,0.0,0.0,0.0,51.2,5.2,4.86,15.21,6.7,294.8,62.3
4292,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),339.7,0.326,28.0,36.9,8.2,0.0,0.0,45.1,62.9,7.17,5.64,12.21,8.7,236.5,57.1
4293,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.6,28.0,100.0,0.0,0.0,0.0,100.0,33.6,3.93,2.67,30.0,4.2,217.3,31.0
4294,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.27,28.0,100.0,0.0,0.0,0.0,100.0,35.2,4.9,3.12,19.69,7.0,222.2,30.5
4295,RAC,real,See Table 3 (compiled sources),280.0,0.5,28.0,2.0,0.0,0.0,0.0,2.0,48.0,5.32,4.38,17.65,6.2,228.8,53.0
4296,RAC,real,See Table 3 (compiled sources),410.0,0.549,90.0,49.1,0.0,0.0,0.0,49.1,65.2,7.25,5.61,17.8,6.4,292.6,60.3
4297,RAC,real,See Table 3 (compiled sources),537.0,0.41,7.0,15.0,0.0,0.0,0.0,15.0,38.7,4.39,3.3,16.64,6.9,420.0,77.6
4298,RAC,real,See Table 3 (compiled sources),460.0,0.4,28.0,100.0,0.0,0.0,0.0,100.0,29.5,3.53,2.76,24.99,5.4,286.0,46.4
4299,RAC,real,See Table 3 (compiled sources),500.0,0.35,56.0,2.0,0.0,0.0,0.0,2.0,64.1,7.89,5.66,8.94,7.9,415.5,92.7
4300,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.68,28.0,0.0,0.0,0.0,0.0,0.0,34.5,4.1,2.97,24.32,4.0,311.1,62.9
4301,RAC,real,See Table 3 (compiled sources),400.0,0.42,56.0,1.0,0.0,0.0,0.0,1.0,60.2,7.11,5.4,11.36,8.1,321.3,75.0
4302,RAC,real,See Table 3 (compiled sources),500.0,0.35,28.0,1.0,0.0,0.0,0.0,1.0,61.0,6.86,5.47,10.47,8.5,415.4,86.4
4303,Ceramic,augmented_literature_based,This study (synthetic augmentation),483.0,0.461,56.0,21.9,0.0,9.0,0.0,30.9,58.1,7.12,5.05,15.77,7.4,365.3,77.4
4304,RAC,real,See Table 3 (compiled sources),450.0,0.43,56.0,2.0,0.0,0.0,0.0,2.0,61.0,7.37,5.32,11.17,8.0,355.4,77.2
4305,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.5,28.0,80.0,0.0,0.0,0.0,80.0,15.4,3.4,1.5,27.4,5.0,236.1,28.4
4306,RAC,real,See Table 3 (compiled sources),500.0,0.36,56.0,1.0,0.0,0.0,0.0,1.0,63.6,7.54,5.88,11.19,8.6,413.8,87.4
4307,RAC,real,See Table 3 (compiled sources),264.0,0.674242424,28.0,100.0,0.0,0.0,0.0,100.0,18.0,2.93,1.5,30.0,3.2,122.4,15.0
4308,RAC,real,See Table 3 (compiled sources),400.0,0.45,28.0,49.3,0.0,0.0,0.0,49.3,56.8,6.93,5.15,19.36,5.9,292.1,59.0
4309,RAC,real,See Table 3 (compiled sources),210.0,0.53,28.0,1.0,0.0,0.0,0.0,1.0,35.6,3.81,3.14,20.63,5.5,166.7,36.7
4310,RAC,real,See Table 3 (compiled sources),537.0,0.409683426,28.0,15.0,0.0,0.0,0.0,15.0,52.9,6.72,4.72,16.07,6.8,418.2,80.2
4311,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",350.0,0.5,28.0,50.5,0.0,0.0,0.0,50.5,28.7,3.13,2.45,25.04,4.7,240.3,36.8
4312,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,15.0,0.0,0.0,0.0,15.0,45.0,5.5,4.33,17.25,7.2,420.0,69.4
4313,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.7,28.0,10.0,0.0,0.0,0.0,10.0,64.6,7.85,5.56,23.38,4.4,300.4,73.0
4314,RAC,real,See Table 3 (compiled sources),380.0,0.4,28.0,73.0,0.0,0.0,0.0,73.0,53.8,6.04,4.69,17.8,6.9,242.7,39.8
4315,RAC,real,See Table 3 (compiled sources),350.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,59.5,6.45,5.35,11.43,8.1,288.3,66.3
4316,Plastic,real,See Table 3 (compiled sources),380.0,0.45,28.0,0.0,0.0,0.0,30.0,30.0,16.3,2.27,2.16,21.79,5.6,293.2,47.1
4317,RAC,real,See Table 3 (compiled sources),400.0,0.41,28.0,2.0,0.0,0.0,0.0,2.0,60.9,7.52,5.59,12.25,7.0,327.2,66.2
4318,RAC,real,See Table 3 (compiled sources),330.0,0.56,28.0,1.0,0.0,0.0,0.0,1.0,39.6,5.04,3.65,21.08,5.5,268.8,51.5
4319,RAC,real,See Table 3 (compiled sources),350.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,60.9,7.59,5.42,10.31,8.2,280.3,61.5
4320,RAC,real,See Table 3 (compiled sources),500.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,65.8,7.75,5.96,11.35,8.5,407.5,94.3
4321,RAC,real,See Table 3 (compiled sources),300.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,40.5,4.94,3.63,24.57,4.2,255.1,49.4
4322,RAC,real,See Table 3 (compiled sources),210.0,0.57,56.0,2.0,0.0,0.0,0.0,2.0,39.2,5.19,3.49,19.75,6.0,171.3,41.2
4323,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.55,28.0,100.0,0.0,0.0,0.0,100.0,38.1,4.34,3.82,29.28,4.0,229.4,34.3
4324,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),329.6,0.401,56.0,37.1,15.8,0.0,0.0,52.9,65.0,7.88,6.0,12.24,9.5,223.8,54.3
4325,RAC,real,See Table 3 (compiled sources),450.0,0.5,28.0,52.8,0.0,0.0,0.0,52.8,34.6,4.2,3.6,23.36,4.8,323.6,61.6
4326,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.5,28.0,100.0,0.0,0.0,0.0,100.0,40.5,5.39,3.97,27.87,4.5,220.4,33.9
4327,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.55,28.0,50.0,0.0,0.0,0.0,50.0,42.5,5.2,3.9,24.04,4.6,262.0,44.6
4328,RAC,real,See Table 3 (compiled sources),450.0,0.34,3.0,2.0,0.0,0.0,0.0,2.0,46.9,5.76,4.36,11.64,7.8,363.5,75.3
4329,RAC,real,See Table 3 (compiled sources),280.0,0.43,56.0,2.0,0.0,0.0,0.0,2.0,57.3,7.44,5.02,14.69,7.1,221.5,56.0
4330,RAC,real,See Table 3 (compiled sources),350.0,0.44,56.0,2.0,0.0,0.0,0.0,2.0,64.9,8.15,5.71,12.22,7.9,291.5,65.6
4331,RAC,real,See Table 3 (compiled sources),210.0,0.6,56.0,1.0,0.0,0.0,0.0,1.0,38.8,5.13,3.15,21.8,5.6,170.8,43.4
4332,Combined,augmented_literature_based,This study (synthetic augmentation),490.8,0.365,7.0,30.5,6.5,6.6,7.5,51.1,56.5,6.7,5.17,14.41,8.2,362.6,70.5
4333,RAC,real,See Table 3 (compiled sources),210.0,0.51,28.0,1.0,0.0,0.0,0.0,1.0,30.0,4.26,2.68,19.73,5.6,176.6,36.2
4334,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.41,28.0,15.0,0.0,0.0,0.0,15.0,52.9,6.64,4.96,15.75,7.0,296.9,64.4
4335,RAC,real,See Table 3 (compiled sources),300.0,0.58,56.0,1.0,0.0,0.0,0.0,1.0,46.4,5.06,3.54,19.43,6.3,240.7,52.4
4336,RAC,real,See Table 3 (compiled sources),806.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,15.1,2.0,1.62,19.06,6.0,420.0,108.9
4337,RAC,real,See Table 3 (compiled sources),410.0,0.549,28.0,100.0,0.0,0.0,0.0,100.0,38.3,4.9,3.47,27.96,4.0,242.2,36.2
4338,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.36,28.0,0.0,0.0,0.0,0.0,0.0,48.9,5.78,4.23,12.97,8.2,313.6,66.0
4339,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",275.0,0.5,28.0,20.0,0.0,0.0,0.0,20.0,57.2,6.49,4.99,17.41,7.3,203.5,50.1
4340,RCWTB,augmented_literature_based,This study (synthetic augmentation),358.1,0.479,56.0,27.3,8.6,0.0,0.0,35.9,59.2,7.05,4.88,16.71,7.4,274.1,53.8
4341,RAC,real,See Table 3 (compiled sources),210.0,0.58,56.0,1.0,0.0,0.0,0.0,1.0,40.7,4.87,3.64,20.33,5.5,175.9,37.0
4342,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.29,28.0,50.0,0.0,0.0,0.0,50.0,70.8,7.0,6.0,11.89,8.0,266.0,58.2
4343,RCWTB,augmented_literature_based,This study (synthetic augmentation),317.6,0.561,56.0,42.3,13.7,0.0,0.0,56.0,53.5,6.57,4.63,20.83,7.2,211.0,49.0
4344,RAC,real,See Table 3 (compiled sources),280.0,0.58,56.0,1.0,0.0,0.0,0.0,1.0,48.7,5.94,4.21,18.84,6.1,231.9,50.2
4345,RAC,real,See Table 3 (compiled sources),280.0,0.5,28.0,8.6,0.0,0.0,0.0,8.6,32.9,4.08,2.73,19.68,6.2,216.2,47.0
4346,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),411.3,0.388,56.0,39.2,19.3,0.0,0.0,58.5,63.0,7.82,5.31,10.22,10.0,287.7,60.9
4347,RAC,real,See Table 3 (compiled sources),537.0,0.41,7.0,60.0,0.0,0.0,0.0,60.0,40.0,4.95,3.56,19.98,5.8,382.7,63.0
4348,RAC,real,See Table 3 (compiled sources),455.0,0.264,56.0,0.0,0.0,0.0,0.0,0.0,87.8,9.0,6.0,3.53,10.0,374.3,91.9
4349,RAC,real,See Table 3 (compiled sources),455.0,0.264,56.0,0.0,0.0,0.0,0.0,0.0,81.5,9.0,6.0,3.97,9.8,376.8,90.0
4350,RAC,real,See Table 3 (compiled sources),500.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,67.1,8.16,5.92,10.76,8.0,413.2,84.0
4351,RAC,real,"Hoang 2024, Mathematics (Ref 9)",144.0,0.466,180.0,50.1,0.0,0.0,0.0,50.1,27.2,3.1,2.63,18.09,8.2,80.0,17.7
4352,RAC,real,See Table 3 (compiled sources),210.0,0.56,3.0,2.0,0.0,0.0,0.0,2.0,16.7,2.07,1.58,25.33,4.5,167.1,31.4
4353,RAC,real,See Table 3 (compiled sources),350.0,0.43,3.0,1.0,0.0,0.0,0.0,1.0,37.6,4.45,3.65,18.72,6.6,289.6,51.4
4354,Combined,augmented_literature_based,This study (synthetic augmentation),322.6,0.52,90.0,19.8,7.9,6.1,7.3,41.1,56.8,6.12,5.3,15.95,8.3,231.5,53.5
4355,RAC,real,See Table 3 (compiled sources),450.0,0.5,28.0,22.7,0.0,0.0,0.0,22.7,41.5,4.7,4.3,19.38,5.7,359.9,67.8
4356,RAC,real,See Table 3 (compiled sources),360.0,0.39,28.0,0.0,0.0,0.0,0.0,0.0,62.1,7.44,5.44,12.43,7.8,287.4,67.2
4357,RAC,real,See Table 3 (compiled sources),280.0,0.44,28.0,2.0,0.0,0.0,0.0,2.0,42.8,5.34,3.87,16.45,6.6,238.2,50.5
4358,RAC,real,See Table 3 (compiled sources),537.0,0.41,3.0,15.0,0.0,0.0,0.0,15.0,36.7,4.13,3.28,18.68,5.9,420.0,82.1
4359,RCWTB,augmented_literature_based,This study (synthetic augmentation),454.3,0.402,14.0,37.1,11.0,0.0,0.0,48.1,55.6,6.39,5.29,15.86,7.8,324.5,66.9
4360,RAC,real,See Table 3 (compiled sources),210.0,0.53,56.0,1.0,0.0,0.0,0.0,1.0,44.2,5.18,4.01,19.44,6.2,173.0,44.7
4361,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,0.0,0.0,0.0,0.0,0.0,39.5,4.53,3.83,23.9,4.8,310.3,65.4
4362,RAC,real,See Table 3 (compiled sources),210.0,0.58,28.0,2.0,0.0,0.0,0.0,2.0,34.6,3.74,3.01,22.7,5.4,175.5,38.2
4363,RCWTB,augmented_literature_based,This study (synthetic augmentation),369.0,0.549,7.0,36.2,8.1,0.0,0.0,44.3,46.5,6.0,4.14,22.33,6.3,264.7,51.3
4364,RAC,real,See Table 3 (compiled sources),380.0,0.45,28.0,0.0,0.0,0.0,0.0,0.0,66.8,8.16,6.0,14.4,7.6,306.2,70.0
4365,RAC,real,"Hoang 2024, Mathematics (Ref 9)",300.0,0.368,7.0,0.0,0.0,0.0,0.0,0.0,34.7,4.36,3.17,14.67,6.5,233.5,46.6
4366,RAC,real,See Table 3 (compiled sources),210.0,0.56,56.0,2.0,0.0,0.0,0.0,2.0,41.3,5.4,3.71,20.03,6.3,169.9,44.6
4367,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.42,28.0,60.0,0.0,0.0,0.0,60.0,35.8,3.91,2.91,21.73,6.6,258.8,43.3
